Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-05-22 11:00 (-04),On Demand,Hannah Frankson,30,Cycling,Low Impact,30 min Low Impact Ride,2022-05-21 05:25 (-04),253,141,44%,81,18.57,9.29,391,131.47,,
2022-05-22 11:31 (-04),,,15,Cycling,,15 min Lanebreak Ride,,135,149,43%,86,18.81,4.72,173,,,
2022-05-22 11:47 (-04),,,5,Cycling,,5 min Lanebreak Ride,,34,113,36%,92,16.72,1.39,43,,,
2022-05-24 09:03 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Georgia Longleaf Pines Ride,,165,133,41%,83,18.01,6.21,197,109.91,,
2022-05-24 09:25 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Pupukea Forest Ride,,169,140,42%,85,18.63,6.21,213,116.40,,
2022-05-24 09:46 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Big Sur Ride,,177,151,45%,80,19.12,6.21,228,123.06,,
2022-05-24 10:09 (-04),On Demand,,None,Cycling,Scenic Ride,10 KM Iceland Ride,,181,157,45%,83,19.39,6.21,235,126.61,,
2022-05-24 10:30 (-04),,,15,Cycling,,15 min Lanebreak Ride,,135,150,42%,90,18.79,4.71,174,,,
2022-05-24 10:46 (-04),,,5,Cycling,,5 min Lanebreak Ride,,38,127,41%,84,17.67,1.48,49,,,
2022-05-25 09:47 (-04),On Demand,Sam Yo,10,Cycling,Warm Up,10 min Warm Up Ride,2022-05-25 02:00 (-04),101,167,43%,90,19.68,3.28,113,121.79,,
2022-05-25 09:58 (-04),On Demand,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2022-05-18 09:53 (-04),312,173,48%,81,20.17,10.09,397,132.59,,
2022-05-25 10:29 (-04),On Demand,Ally Love,20,Cycling,Music,20 min Country Pop Ride,2022-05-22 12:29 (-04),172,143,43%,85,18.63,6.22,262,131.64,,
2022-05-25 10:51 (-04),On Demand,Hannah Frankson,20,Cycling,Music,20 min EDM Ride,2022-05-24 02:52 (-04),188,156,49%,76,19.23,6.42,270,134.41,,
2022-05-25 11:13 (-04),On Demand,Sam Yo,10,Cycling,Cool Down,10 min Cool Down Ride,2022-05-25 02:00 (-04),58,97,40%,76,15.94,2.66,111,118.68,,
2022-05-28 10:19 (-04),On Demand,Ben Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2022-03-25 03:00 (-04),97,162,44%,87,19.51,3.25,106,115.98,,
2022-05-28 10:30 (-04),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2022-05-14 07:52 (-04),619,172,46%,85,20.13,20.13,775,130.40,,
2022-05-28 11:32 (-04),On Demand,Leanne Hainsby,10,Cycling,Cool Down,10 min Cool Down Ride,2022-05-16 02:00 (-04),78,130,43%,81,17.99,3.01,121,125.38,,
2022-05-29 10:38 (-04),On Demand,Leanne Hainsby,10,Cycling,Warm Up,10 min Warm Up Ride,2022-05-16 02:00 (-04),70,116,37%,91,16.99,2.84,85,102.70,,
2022-05-29 10:49 (-04),On Demand,Denis Morton,20,Cycling,Music,20 min Country Ride,2022-05-24 16:52 (-04),180,150,45%,82,19.06,6.36,204,113.23,,
2022-05-29 11:11 (-04),On Demand,Leanne Hainsby,20,Cycling,Low Impact,20 min Low Impact Ride,2022-05-24 23:30 (-04),182,151,45%,82,19.11,6.37,205,113.55,,
2022-05-29 11:32 (-04),On Demand,Jess King,30,Cycling,Music,30 min EDM Ride,2022-05-25 16:52 (-04),277,154,47%,78,19.16,9.59,334,119.18,,
2022-05-29 12:03 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min Dance Music Ride,2022-05-16 08:54 (-04),273,151,47%,78,19.03,9.52,356,123.64,,
2022-05-29 12:34 (-04),On Demand,Ben Alldis,10,Cycling,Cool Down,10 min Cool Down Ride,2022-03-25 03:00 (-04),78,131,43%,80,18.06,3.02,114,120.64,,
2022-05-30 10:03 (-04),,,5,Cycling,,5 min Lanebreak Ride,,29,95,37%,78,15.21,1.31,38,,,
2022-05-30 10:09 (-04),,,20,Cycling,,20 min Lanebreak Ride,,186,154,44%,84,19.02,6.39,240,,,
2022-05-30 10:31 (-04),,,15,Cycling,,15 min Lanebreak Ride,,139,154,41%,91,18.93,4.75,179,,,
2022-05-30 10:48 (-04),,,20,Cycling,,20 min Lanebreak Ride,,183,153,43%,86,18.89,6.29,236,,,
2022-05-30 11:10 (-04),,,20,Cycling,,20 min Lanebreak Ride,,177,147,43%,85,18.66,6.24,227,,,
2022-05-30 11:33 (-04),,,15,Cycling,,15 min Lanebreak Ride,,134,150,44%,83,18.66,4.64,173,,,
2022-05-30 11:49 (-04),,,10,Cycling,,10 min Lanebreak Ride,,80,132,40%,87,17.95,3.03,103,,,
2022-05-30 12:01 (-04),,,5,Cycling,,5 min Lanebreak Ride,,31,105,36%,89,16.14,1.34,40,,,
